metric,value
no_storage_cost_yuan,48052.046590846665
no_storage_grid_kwh,61789.9354
plan_A_cost_yuan,35126.94858928962
plan_A_grid_kwh,59482.69899835388
plan_A_charge_kwh,20740.666131687292
plan_A_discharge_kwh,16799.939566666704
plan_A_curtail_kwh,0.0
plan_A_target_index,140
plan_A_target_grid_kwh,569.358633333437
plan_A_max_balance_residual,1.1368683772161603e-13
plan_A_max_soc_recurrence_residual,0.0
plan_A_max_lp_ub_violation,2.3646862246096134e-11
plan_A_max_lp_eq_residual,0.0
plan_B_cost_yuan,35126.94858928962
plan_B_grid_kwh,59482.69899835391
plan_B_charge_kwh,20740.666131687274
plan_B_discharge_kwh,16799.939566666693
plan_B_curtail_kwh,0.0
plan_B_target_index,140
plan_B_target_grid_kwh,902.6919666505764
plan_B_max_balance_residual,1.1368683772161603e-13
plan_B_max_soc_recurrence_residual,0.0
plan_B_max_lp_ub_violation,1.4484612620435655e-08
plan_B_max_lp_eq_residual,0.0
cost_saving_A_vs_no_storage_yuan,12925.098001557046
cost_saving_B_vs_no_storage_yuan,12925.098001557046
max_abs_grid_difference_B_minus_A_kwh,333.3333333332139
certificate_upper_bound_exact,47421380595541/1350000000
certificate_lower_bound_exact,47421380595541/1350000000
certificate_gap_exact,0
certificate_exact_optimal,True
model_note,"same optimal purchase cost, different interval-level purchase schedules"
