date,method,passed,balance_max_abs_kwh,soc_recurrence_max_abs_kwh,emergency_definition_max_abs_kwh,cost_max_abs_yuan,within_day_soc_continuity_max_abs_kwh,soc_min_kwh,soc_max_kwh,max_charge_kwh,max_discharge_kwh,charge_discharge_conflicts,charge_emergency_conflicts,source_causal,plan_frozen,solver_method,solver_success,solver_status_code,mip_gap,lp_initial_conflicts,incremental_rounds,active_binary_count,total_possible_binaries,model_max_constraint_violation
2025-02-01,stochastic,True,1.42108547152e-13,8.38440428197e-13,0,0,0,5332.41068519,10800,833.333333333,483.746666667,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,4.28037448275e-05,30,1,576,2880,8.98353391676e-10
2025-02-02,stochastic,True,1.13686837722e-13,7.28306304154e-13,0,0,0,1200,8551.5301973,833.333333333,764.714011905,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,2.57902735924e-06,39,1,720,2880,2.6009274734e-09
2025-02-03,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,7454.34648066,833.333333333,738.115,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.00010074694153,51,1,720,2880,2.55340637523e-10
2025-02-04,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,7053.08764172,833.333333333,780.615783333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000103131870796,28,1,864,2880,3.30373950419e-10
2025-02-05,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,7504.64054392,833.333333333,818.18702381,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000129853846566,35,2,720,2880,5.7480065152e-10
2025-02-06,stochastic,True,2.27373675443e-13,4.29878355135e-13,0,0,0,1200,7166.56697096,833.333333333,833.333333333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,9.73687607763e-05,33,1,576,2880,3.29237082042e-10
2025-02-07,stochastic,True,1.13686837722e-13,6.8212102633e-13,0,0,0,1350.03075996,10800,833.333333333,491.07015,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000326792721522,38,1,864,2880,5.7832494349e-10
2025-02-08,stochastic,True,1.13686837722e-13,6.8212102633e-13,0,0,0,5030.92804681,10800,833.333333333,501.95935,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,3.31638089502e-05,40,1,576,2880,7.66476659919e-10
2025-02-09,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,7550.83197553,833.333333333,750.525119048,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,5.24786639573e-05,31,1,864,2880,2.11002770811e-10
2025-02-10,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,8101.75413487,833.333333333,743.571666667,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.0002323154771,37,2,864,2880,1.65617848324e-08
2025-02-11,stochastic,True,2.27373675443e-13,8.31335000839e-13,0,0,0,1200,8275.90107402,833.333333333,755.241866667,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,7.23950904245e-06,39,1,720,2880,8.18545231596e-11
2025-02-12,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,7285.62910371,833.333333333,747.850297619,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,1.4544819639e-05,39,1,720,2880,2.25213625527e-10
2025-02-13,stochastic,True,2.27373675443e-13,7.38964445191e-13,0,0,0,1200,8616.19444434,833.333333333,759.06375,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,2.16310095027e-05,46,1,720,2880,7.4248873716e-10
2025-02-14,stochastic,True,1.13686837722e-13,3.5527136788e-13,0,0,0,1383.79499966,10800,833.333333333,491.83252381,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000176421001807,54,1,720,2880,2.01703187486e-09
2025-02-15,stochastic,True,1.13686837722e-13,6.39488462184e-13,0,0,0,5089.09151119,10800,833.333333333,501.206433333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,6.65967325675e-05,38,1,720,2880,7.20092430129e-10
2025-02-16,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,7500.05212614,833.333333333,822.598571429,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000615451680174,41,1,864,2880,5.61612978345e-10
2025-02-17,stochastic,True,2.27373675443e-13,4.32098801184e-13,0,0,0,1200,8026.23964672,833.333333333,748.876583333,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,7.82066095824e-05,43,1,720,2880,1.45678313856e-09
2025-02-18,stochastic,True,2.27373675443e-13,4.54747350886e-13,0,0,0,1200,7205.77305077,833.333333333,821.732254762,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000153469631576,45,1,720,2880,7.3850969784e-10
2025-02-19,stochastic,True,1.13686837722e-13,4.54747350886e-13,0,0,0,1200,7292.74256312,833.333333333,815.181164286,0,0,True,True,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000128151762431,47,1,720,2880,7.66249286244e-11
