plan_kwh,emergency_kwh,charge_kwh,discharge_kwh,curtailment_kwh,unused_plan_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh,emergency_intervals,date,method,solver_method,solver_success,solver_status_code,mip_gap,surrogate_objective_yuan,dual_bound_yuan,lp_lower_bound_yuan,lp_initial_conflicts,incremental_rounds,active_binary_count,total_possible_binaries,binary_history,model_build_seconds,model_solve_seconds,model_max_constraint_violation,source_day_count,source_day_max,source_causal,plan_frozen,physical_checks_passed
84559.4683168,2.28084218179e-12,7515.9073624,6118.27159043,8935.4624252,39848.1941863,54600.5618713,1.46150256342e-11,54600.5618713,6093.09016714,6059.32724839,0,2025-02-01,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,4.28037448275e-05,56597.2206401,56594.7980671,56476.8553517,30,1,576,2880,0>576,0.0328111999993,4.9332624,8.98353391676e-10,20,30,True,True,True
84134.2956175,3617.44297221,12393.0754924,14007.0263115,5.68434188608e-14,11009.4114587,54253.295207,20538.8040177,74792.0992248,6059.32724839,1649.73262331,23,2025-02-02,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,2.57902735924e-06,56127.4878815,56127.3431271,56047.9352645,39,1,720,2880,0>720,0.0329102999995,5.7553551,2.6009274734e-09,20,31,True,True,True
87467.3253265,5781.01036419,15126.1613974,12438.7247326,0,10343.9825258,55230.6465257,32482.1279017,87712.7744273,1649.73262331,1442.47262256,39,2025-02-03,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.00010074694153,57112.0966172,57106.3427481,57006.6859211,51,1,720,2880,0>720,0.0366655000003,4.8627223,2.55340637523e-10,20,32,True,True,True
86788.3386506,7256.47075316,14972.0563579,12300.7020159,5.68434188608e-14,10178.5911117,54745.3826838,40636.3531744,95381.7358583,1442.47262256,1249.87666034,35,2025-02-04,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000103131870796,56698.5028074,56692.6553847,56544.8026771,28,1,864,2880,0>864,0.0362855999997,4.0692134,3.30373950419e-10,20,33,True,True,True
85948.5956525,7041.08072061,15174.8869201,12254.4999251,5.68434188608e-14,9320.86239475,54204.1060647,38339.4475062,92543.5535709,1249.87666034,1291.16386053,46,2025-02-05,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000129853846566,56179.2421466,56171.9470559,56016.6673886,35,2,720,2880,0>576>720,0.0519852999996,20.1052323,5.7480065152e-10,20,34,True,True,True
86424.5569161,6579.31820094,15127.6098474,12200.3837669,1.13686837722e-13,9805.59181992,54481.3933774,36729.5069821,91210.9003595,1291.16386053,1350.03075996,44,2025-02-06,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,9.73687607763e-05,56383.0893708,56377.5994193,56266.9231945,33,1,576,2880,0>576,0.1872566,22.3158541,3.29237082042e-10,20,33,True,True,True
85759.2744125,2.44426701101e-12,13811.8717825,6920.98976026,9705.96229048,37356.7504331,53993.9165562,1.3808957533e-11,53993.9165562,1350.03075996,6090.72674173,0,2025-02-07,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000326792721522,55932.2745621,55913.9963019,55793.1617467,38,1,864,2880,0>864,0.1931518,22.9806444,5.7832494349e-10,20,36,True,True,True
79616.7661764,1.13686837722e-12,7625.85098892,6195.4900293,10370.6304454,36238.6120547,51072.3445365,6.84327261524e-12,51072.3445365,6090.72674173,6070.11482143,0,2025-02-08,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,3.31638089502e-05,52929.7482138,52927.9928617,52849.4944865,40,1,576,2880,0>576,0.2095834,21.9925469,7.66476659919e-10,20,36,True,True,True
77976.2458874,6988.72645346,9854.49476808,12294.2349218,5.68434188608e-14,7849.2965279,50264.1646651,38601.7250048,88865.8896699,6070.11482143,1278.89908852,40,2025-02-09,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,5.24786639573e-05,52097.7750584,52095.0410367,52056.0459218,31,1,864,2880,0>864,0.2281339,20.0841418,2.11002770811e-10,20,37,True,True,True
84405.8910923,4272.55655435,15317.7928973,12478.4214265,217.25425,11295.1843425,53156.0541501,23662.2944501,76818.3486001,1278.89908852,1200,48,2025-02-10,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.0002323154771,55314.2284702,55301.3781189,55194.8421999,37,2,864,2880,0>720>864,0.0524881000001,7.9356445,1.65617848324e-08,20,39,True,True,True
