plan_kwh,emergency_kwh,charge_kwh,discharge_kwh,curtailment_kwh,unused_plan_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh,emergency_intervals,date,method,solver_method,solver_success,solver_status_code,mip_gap,surrogate_objective_yuan,dual_bound_yuan,lp_lower_bound_yuan,lp_initial_conflicts,incremental_rounds,active_binary_count,total_possible_binaries,binary_history,model_build_seconds,model_solve_seconds,model_max_constraint_violation,source_day_count,source_day_max,source_causal,plan_frozen,physical_checks_passed
75882.487365,4.86721773996e-12,10677.5817215,8648.13920164,8324.92823771,31149.9406741,45680.6898769,2.98017539535e-11,45680.6898769,6113.39239929,6114.17239127,0,2025-02-01,point,INCREMENTAL_LP_CERTIFIED,True,0,0,45680.6898769,0,45680.6898769,0,0,0,144,0,0.000942499998928,0.00386740000067,2.72848410532e-12,0,-1,True,True,True
75299.6541376,6966.49535131,22123.9737613,18302.0698057,7.18730630567e-14,87.9675833333,45277.7580467,33293.5441743,78571.302221,6114.17239127,5690.11565902,82,2025-02-02,point,INCREMENTAL_LP_CERTIFIED,True,0,0,45277.7580467,0,45277.7580467,0,0,0,144,0,0.00103039999885,0.00404879999951,2.72848410532e-12,0,-1,True,True,True
74454.8845363,9760.25164821,21556.1891463,17575.5820808,5.68434188608e-14,17.6126190476,44555.3329221,46346.1047447,90901.4376668,5690.11565902,5562.26135648,86,2025-02-03,point,INCREMENTAL_LP_CERTIFIED,True,0,0,44555.3329221,0,44555.3329221,0,0,0,144,0,0.000927199998841,0.00393360000089,2.27373675443e-12,0,-1,True,True,True
74010.3251564,11159.5855527,21388.501366,17413.4546068,9.33437355188e-14,6.36646291241e-12,44226.9938694,53264.9680116,97491.961881,5562.26135648,5463.62968937,88,2025-02-04,point,INCREMENTAL_LP_CERTIFIED,True,0,0,44226.9938694,0,44226.9938694,0,0,0,144,0,0.000961700001426,0.00389929999983,2.50111042988e-12,0,-1,True,True,True
73279.6874051,11476.3032394,20771.2245884,16763.6609272,1.13686837722e-13,5.1443294069e-12,43723.4678463,55212.9175667,98936.385413,5463.62968937,5531.44189981,92,2025-02-05,point,INCREMENTAL_LP_CERTIFIED,True,0,0,43723.4678463,0,43723.4678463,0,0,0,144,0,0.000971699999354,0.00387700000101,1.5916157281e-12,0,-1,True,True,True
73118.1722082,11104.0559833,20733.6667159,16785.5611125,1.70530256582e-13,3.06537142857,43656.6913972,53612.1250375,97268.8164347,5531.44189981,5541.11848579,93,2025-02-06,point,INCREMENTAL_LP_CERTIFIED,True,0,0,43656.6913972,0,43656.6913972,0,0,0,144,0,0.00109169999996,0.00455829999919,2.16004991671e-12,0,-1,True,True,True
72610.9206539,5.74118530494e-12,12791.0475289,9864.84566667,8890.70076667,28988.3383583,43254.146373,3.27026867808e-11,43254.146373,5541.11848579,6092.12163214,0,2025-02-07,point,INCREMENTAL_LP_CERTIFIED,True,0,0,43254.146373,0,43254.146373,0,0,0,144,0,0.00102420000076,0.00398250000035,9.09494701773e-13,0,-1,True,True,True
70986.9450627,1.57385215971e-12,11315.4066755,9154.1542119,9196.80796429,28051.7219182,42369.2571913,8.63518323513e-12,42369.2571913,6092.12163214,6104.70518241,0,2025-02-08,point,INCREMENTAL_LP_CERTIFIED,True,0,0,42369.2571913,0,42369.2571913,0,0,0,144,0,0.000917600000321,0.0036555000006,2.50111042988e-12,0,-1,True,True,True
70572.5559392,12093.0731338,19472.308213,16362.0951067,1.45661260831e-13,5.28643795406e-12,42086.5983272,58663.3279264,100749.926254,6104.70518241,5449.67690005,92,2025-02-09,point,INCREMENTAL_LP_CERTIFIED,True,0,0,42086.5983272,0,42086.5983272,0,0,0,144,0,0.000936300000831,0.00373909999871,2.04636307899e-12,0,-1,True,True,True
71483.5398186,7255.60595157,22617.5549829,18435.7823365,1.24528165557e-12,230.735540476,42482.8219683,32707.0884361,75189.9104044,5449.67690005,5321.27378852,82,2025-02-10,point,INCREMENTAL_LP_CERTIFIED,True,0,0,42482.8219683,0,42482.8219683,0,0,0,144,0,0.000912299999982,0.0039383000003,2.72848410532e-12,0,-1,True,True,True
