"index","source_time","interval","price_yuan_per_kwh","load_kw","pv_forecast_kw","load_kwh","pv_forecast_kwh","grid_A_kwh","charge_A_kwh","discharge_A_kwh","curtail_A_kwh","soc_A_kwh","grid_B_kwh","charge_B_kwh","discharge_B_kwh","curtail_B_kwh","soc_B_kwh","diff_grid_B_minus_A_kwh","diff_soc_B_minus_A_kwh"
"1","00:10","00:00-00:10","0.4248","3439.8466","0.0","573.3077666667","0.0","1406.6411","833.3333333333","0.0","0.0","6750.0","1406.6411","833.3333333333","0.0","0.0","6750.0","0.0","0.0"
"2","00:20","00:10-00:20","0.4245","3437.9792","0.0","572.9965333333","0.0","1406.3298666667","833.3333333333","0.0","0.0","7500.0","1406.3298666667","833.3333333333","0.0","0.0","7500.0","0.0","0.0"
"3","00:30","00:20-00:30","0.4269","3444.3031","0.0","574.0505166667","0.0","1407.38385","833.3333333333","0.0","0.0","8250.0","1407.38385","833.3333333333","0.0","0.0","8250.0","0.0","0.0"
"4","00:40","00:30-00:40","0.4272","3454.4437","0.0","575.7406166667","0.0","1409.07395","833.3333333333","0.0","-0.0","9000.0","1409.07395","833.3333333333","0.0","-0.0","9000.0","0.0","0.0"
"5","00:50","00:40-00:50","0.4271","3458.8273","0.0","576.4712166667","0.0","1409.80455","833.3333333333","0.0","0.0","9750.0","1409.80455","833.3333333333","0.0","0.0","9750.0","0.0","0.0"
"6","01:00","00:50-01:00","0.4285","3459.8401","0.0","576.6400166667","0.0","576.6400166667","0.0","0.0","-0.0","9750.0","576.6400166667","0.0","0.0","-0.0","9750.0","0.0","0.0"
"7","01:10","01:00-01:10","0.4311","3467.1582","0.0","577.8597","0.0","577.8597","0.0","0.0","-0.0","9750.0","577.8597","0.0","0.0","-0.0","9750.0","0.0","0.0"
"8","01:20","01:10-01:20","0.4302","3467.9632","0.0","577.9938666667","0.0","577.9938666667","0.0","0.0","-0.0","9750.0","577.9938666667","0.0","0.0","-0.0","9750.0","-0.0","0.0"
"9","01:30","01:20-01:30","0.4279","3466.9683","0.0","577.82805","0.0","911.1613833334","333.3333333334","0.0","0.0","10050.0","911.1613833333","333.3333333333","0.0","0.0","10050.0","-0.0","-0.0"
"10","01:40","01:30-01:40","0.4312","3482.4927","0.0","580.41545","0.0","580.41545","0.0","0.0","0.0","10050.0","580.41545","0.0","0.0","0.0","10050.0","0.0","0.0"
"11","01:50","01:40-01:50","0.4333","3495.0841","0.0","582.5140166667","0.0","582.5140166667","0.0","0.0","-0.0","10050.0","582.5140166667","0.0","0.0","-0.0","10050.0","0.0","0.0"
"12","02:00","01:50-02:00","0.4311","3498.4443","0.0","583.07405","0.0","583.07405","0.0","0.0","-0.0","10050.0","583.07405","0.0","0.0","-0.0","10050.0","0.0","0.0"
"13","02:10","02:00-02:10","0.4293","3505.2295","0.0","584.2049166667","0.0","584.2049166667","0.0","0.0","-0.0","10050.0","584.2049166667","0.0","0.0","-0.0","10050.0","0.0","0.0"
"14","02:20","02:10-02:20","0.4324","3512.6387","0.0","585.4397833333","0.0","585.4397833333","0.0","0.0","0.0","10050.0","585.4397833333","0.0","0.0","0.0","10050.0","0.0","0.0"
"15","02:30","02:20-02:30","0.4367","3516.8685","0.0","586.14475","0.0","586.14475","0.0","0.0","-0.0","10050.0","586.14475","0.0","0.0","-0.0","10050.0","0.0","0.0"
