plan_kwh,emergency_kwh,charge_kwh,discharge_kwh,curtailment_kwh,unused_plan_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh,emergency_intervals,date,method,solver_method,solver_success,solver_status_code,mip_gap,surrogate_objective_yuan,dual_bound_yuan,lp_lower_bound_yuan,lp_initial_conflicts,incremental_rounds,active_binary_count,total_possible_binaries,binary_history,model_build_seconds,model_solve_seconds,model_max_constraint_violation,source_day_count,source_day_max,source_causal,plan_frozen,physical_checks_passed
84559.4683168,2.28084218179e-12,7515.9073624,6118.27159043,8935.4624252,39848.1941863,54600.5618713,1.46150256342e-11,54600.5618713,6093.09016714,6059.32724839,0,2025-02-01,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,4.28037448275e-05,56597.2206401,56594.7980671,56476.8553517,30,1,576,2880,0>576,0.0705682000043,6.2439227,8.98353391676e-10,20,30,True,True,True
84134.2956175,3617.44297221,12393.0754924,14007.0263115,5.68434188608e-14,11009.4114587,54253.295207,20538.8040177,74792.0992248,6059.32724839,1649.73262331,23,2025-02-02,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,2.57902735924e-06,56127.4878815,56127.3431271,56047.9352645,39,1,720,2880,0>720,0.0427879999988,6.5778277,2.6009274734e-09,20,31,True,True,True
87467.3253265,5781.01036419,15126.1613974,12438.7247326,0,10343.9825258,55230.6465257,32482.1279017,87712.7744273,1649.73262331,1442.47262256,39,2025-02-03,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.00010074694153,57112.0966172,57106.3427481,57006.6859211,51,1,720,2880,0>720,0.0381854999978,4.7710406,2.55340637523e-10,20,32,True,True,True
86788.3386506,7256.47075316,14972.0563579,12300.7020159,5.68434188608e-14,10178.5911117,54745.3826838,40636.3531744,95381.7358583,1442.47262256,1249.87666034,35,2025-02-04,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000103131870796,56698.5028074,56692.6553847,56544.8026771,28,1,864,2880,0>864,0.040305999999,4.5686463,3.30373950419e-10,20,33,True,True,True
85948.5956525,7041.08072061,15174.8869201,12254.4999251,5.68434188608e-14,9320.86239475,54204.1060647,38339.4475062,92543.5535709,1249.87666034,1291.16386053,46,2025-02-05,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000129853846566,56179.2421466,56171.9470559,56016.6673886,35,2,720,2880,0>576>720,0.0676970000022,8.5448635,5.7480065152e-10,20,34,True,True,True
86424.5569161,6579.31820094,15127.6098474,12200.3837669,1.13686837722e-13,9805.59181992,54481.3933774,36729.5069821,91210.9003595,1291.16386053,1350.03075996,44,2025-02-06,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,9.73687607763e-05,56383.0893708,56377.5994193,56266.9231945,33,1,576,2880,0>576,0.0382664000026,4.3029719,3.29237082042e-10,20,33,True,True,True
85759.2744125,2.44426701101e-12,13811.8717825,6920.98976026,9705.96229048,37356.7504331,53993.9165562,1.3808957533e-11,53993.9165562,1350.03075996,6090.72674173,0,2025-02-07,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000326792721522,55932.2745621,55913.9963019,55793.1617467,38,1,864,2880,0>864,0.0483413999973,4.5903659,5.7832494349e-10,20,36,True,True,True
79616.7661764,1.13686837722e-12,7625.85098892,6195.4900293,10370.6304454,36238.6120547,51072.3445365,6.84327261524e-12,51072.3445365,6090.72674173,6070.11482143,0,2025-02-08,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,3.31638089502e-05,52929.7482138,52927.9928617,52849.4944865,40,1,576,2880,0>576,0.036390199999,4.3687703,7.66476659919e-10,20,36,True,True,True
77976.2458874,6988.72645346,9854.49476808,12294.2349218,5.68434188608e-14,7849.2965279,50264.1646651,38601.7250048,88865.8896699,6070.11482143,1278.89908852,40,2025-02-09,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,5.24786639573e-05,52097.7750584,52095.0410367,52056.0459218,31,1,864,2880,0>864,0.0392893999997,4.7359025,2.11002770811e-10,20,37,True,True,True
84405.8910923,4272.55655435,15317.7928973,12478.4214265,217.25425,11295.1843425,53156.0541501,23662.2944501,76818.3486001,1278.89908852,1200,48,2025-02-10,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.0002323154771,55314.2284702,55301.3781189,55194.8421999,37,2,864,2880,0>720>864,0.0651127000019,10.4807281,1.65617848324e-08,20,39,True,True,True
84067.8295156,5505.3171554,15353.1101186,12272.1721991,155.928716667,11115.6829016,52739.6579561,30131.5981546,82871.2561108,1200,1382.05221881,39,2025-02-11,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,7.23950904245e-06,54886.4740897,54886.0767386,54809.3197266,39,1,720,2880,0>720,0.0381670000024,5.6056853,8.18545231596e-11,20,40,True,True,True
82872.9624309,6442.4250769,14204.4993546,11650.1289648,301.595919018,11192.6850657,51974.7055122,36001.0113836,87975.7168958,1382.05221881,1221.51389929,48,2025-02-12,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,1.4544819639e-05,53812.2270307,53811.4443416,53733.2211145,39,1,720,2880,0>720,0.0423214999973,6.137892,2.25213625527e-10,20,41,True,True,True
82246.8010233,4003.75567423,15198.5681899,12164.7872435,695.705005761,11191.5917286,51448.3007911,21834.4919832,73282.7927743,1221.51389929,1383.79499966,40,2025-02-13,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,2.16310095027e-05,53324.6144028,53323.4609375,53234.8094336,46,1,720,2880,0>720,0.043294199997,5.4308324,7.4248873716e-10,20,42,True,True,True
80450.4212976,2.84217094304e-12,13695.9824606,6878.0538224,10184.596714,33646.0941287,50134.4681406,1.82271833182e-11,50134.4681406,1383.79499966,6067.89718929,0,2025-02-14,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000176421001807,52158.7956061,52149.5936991,52078.2206507,54,1,720,2880,0>720,0.0369913999966,4.8635652,2.01703187486e-09,20,42,True,True,True
75314.0215128,3.12283532367e-12,8403.68595527,6832.52828805,10531.2085317,33931.5642139,47938.7652632,1.70992109361e-11,47938.7652632,6067.89718929,6039.51645119,0,2025-02-15,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,6.65967325675e-05,49983.1720709,49979.8433549,49911.9728432,38,1,720,2880,0>720,0.0406567999999,3.6347239,7.20092430129e-10,20,43,True,True,True
74475.9950535,6832.16634607,10040.0389839,12437.8378396,6.05420119419e-14,8328.58115532,47342.7302565,38033.0751241,85375.8053806,6039.51645119,1255.73171492,41,2025-02-16,stochastic,INCREMENTAL_MILP_GAP_REACHED,True,0,0.000615451680174,49291.4530614,49261.1165538,49178.1436056,41,1,864,2880,0>864,0.0373899999977,4.0035523,5.61612978345e-10,20,43,True,True,True
