date,method,t,interval,price_yuan_per_kwh,load_kwh,pv_kwh,load_hat_kwh,pv_hat_kwh,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,pv_used_kwh,plan_used_kwh,curtailment_kwh,unused_plan_kwh,soc_start_kwh,soc_end_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-02-01,stochastic,0,00:00-00:10,0.4248,422.030366667,0,549.204421429,0,1399.67374762,0,-0,0,0,422.030366667,0,977.643380952,6093.09016714,6093.09016714,594.581407989,0,594.581407989
2025-02-01,stochastic,1,00:10-00:20,0.4245,415.407316667,0,554.700797619,0,1407.32927143,0,-0,0,0,415.407316667,0,991.921954762,6093.09016714,6093.09016714,597.411275721,0,597.411275721
2025-02-01,stochastic,2,00:20-00:30,0.4269,410.716666667,0,565.121904762,0,1419.48809524,0,-0,0,0,410.716666667,0,1008.77142857,6093.09016714,6093.09016714,605.979467857,0,605.979467857
2025-02-01,stochastic,3,00:30-00:40,0.4272,430.2948,0,563.048438095,0,1256.41999286,0,-0,0,0,430.2948,0,826.125192857,6093.09016714,6093.09016714,536.742620949,0,536.742620949
2025-02-01,stochastic,4,00:40-00:50,0.4271,424.410583333,0,568.270219048,0,1421.52826429,0,-0,0,0,424.410583333,0,997.117680952,6093.09016714,6093.09016714,607.134721676,0,607.134721676
2025-02-01,stochastic,5,00:50-01:00,0.4285,406.051666667,0,583.446666667,0,667.83952381,0,-0,0,0,406.051666667,0,261.787857143,6093.09016714,6093.09016714,286.169235952,0,286.169235952
2025-02-01,stochastic,6,01:00-01:10,0.4311,436.750183333,0,589.783809524,0,670.101528571,0,-0,0,0,436.750183333,0,233.351345238,6093.09016714,6093.09016714,288.880768967,0,288.880768967
2025-02-01,stochastic,7,01:10-01:20,0.4302,451.797683333,0,589.347354762,0,654.7523,0,-0,0,0,451.797683333,0,202.954616667,6093.09016714,6093.09016714,281.67443946,0,281.67443946
2025-02-01,stochastic,8,01:20-01:30,0.4279,446.08,0,590.03,0,656.657681286,0,-0,0,0,446.08,0,210.577681286,6093.09016714,6093.09016714,280.983821822,0,280.983821822
2025-02-01,stochastic,9,01:30-01:40,0.4312,471.766333333,0,596.152392857,0,652.30822619,0,-0,0,0,471.766333333,0,180.541892857,6093.09016714,6093.09016714,281.275307133,0,281.275307133
