method,metric,ours,teammate,difference,relative_difference
stochastic,total_cost_yuan,24240218.7191,24290408.9634,-50190.2443213,-0.00206625769031
stochastic,plan_cost_yuan,15008198.8736,15036054.4115,-27855.5379348,-0.00185258294313
stochastic,emergency_cost_yuan,9232019.84545,9254354.55183,-22334.706384,-0.00241342670187
stochastic,plan_kwh,23810400.1134,23843860.1827,-33460.0692488,-0.00140329917188
stochastic,emergency_kwh,1711097.53468,1701674.80954,9422.7251329,0.00553732421732
stochastic,emergency_days,239,239,0,0
stochastic,curtailment_kwh,2105007.32809,2105160.35825,-153.030161518,-7.26928763017e-05
stochastic,terminal_soc_kwh,1200,1200,0,0
point_forecast,total_cost_yuan,25452348.7861,25452348.7861,4.40329313278e-06,1.73001445556e-13
point_forecast,plan_cost_yuan,11746793.6627,11746793.6627,2.77534127235e-07,2.36263728814e-14
point_forecast,emergency_cost_yuan,13705555.1234,13705555.1234,-7.18981027603e-07,-5.24590956828e-14
point_forecast,plan_kwh,19506625.8942,19506625.8942,-3.05473804474e-07,-1.56600022028e-14
point_forecast,emergency_kwh,2789274.89875,2789274.89875,2.77068465948e-07,9.93335099643e-14
point_forecast,emergency_days,240,240,0,0
point_forecast,curtailment_kwh,1616079.0812,1616079.0812,-1.42492353916e-07,-8.81716467801e-14
point_forecast,terminal_soc_kwh,1200,1200,0,0
